seno,name,lati,longi
sh99974,서울특별시청,37.566682,126.978418
sh99975,강동구청,37.530140,127.123731
sh99976,송파구청,37.514451,127.105902
sh99977,강남구청,37.517268,127.047369
sh99978,서초구청,37.483559,127.032670
sh99979,관악구청,37.478140,126.951477
sh99980,동작구청,37.512400,126.939475
sh99981,영등포구청,37.526329,126.896247
sh99982,금천구청,37.456899,126.895414
sh99983,구로구청,37.495456,126.887444
sh99984,강서구청,37.550890,126.849566
sh99985,양천구청,37.517010,126.866632
sh99986,마포구청,37.566205,126.901635
sh99987,서대문구청,37.579183,126.936762
sh99988,은평구청,37.602783,126.929155
sh99989,노원구청,37.654100,127.056303
sh99990,도봉구청,37.668758,127.047037
sh99991,강북구청,37.639775,127.025527
sh99992,성북구청,37.589371,127.016726
sh99993,중랑구청,37.606572,127.092633
sh99994,동대문구청,37.574429,127.039715
sh99995,광진구청,37.538527,127.082365
sh99996,성동구청,37.563444,127.036964
sh99997,용산구청,37.532459,126.990266
sh99998,중구청,37.563763,126.997560
sh99999,종로구청,37.573173,126.979527
